2019-07-01 1:35:9,27.65,56.02
2019-07-01 1:35:10,28.06,68.55
2019-07-01 1:35:11,27.81,59.37
2019-07-01 1:35:12,29.92,86.90
2019-07-01 1:35:13,22.50,72.40
2019-07-01 1:35:14,24.43,52.68
2019-07-01 1:35:15,21.07,75.75
2019-07-01 1:35:16,22.08,55.35
2019-07-01 1:35:17,27.20,68.66
2019-07-01 1:35:18,27.66,50.07
2019-07-01 1:35:19,25.09,90.35
2019-07-01 1:35:20,24.00,89.85
2019-07-01 1:35:21,23.63,79.36
2019-07-01 1:35:22,21.00,51.06
2019-07-01 1:35:23,32.51,93.95
2019-07-01 1:35:24,22.75,70.90
2019-07-01 1:35:25,21.95,84.19
2019-07-01 1:35:26,32.13,80.67
2019-07-01 1:35:27,33.35,77.26
2019-07-01 1:35:28,27.18,56.38
2019-07-01 1:35:29,21.86,86.87
2019-07-01 1:35:30,23.11,57.66
2019-07-01 1:35:31,25.71,65.26
2019-07-01 1:35:32,24.28,91.27
2019-07-01 1:35:9,20.59,65.91
2019-07-01 1:35:10,30.53,79.50
2019-07-01 1:35:11,26.37,62.41
2019-07-01 1:35:12,23.99,84.38
2019-07-01 1:35:13,32.85,59.43
2019-07-01 1:35:14,21.86,60.91
2019-07-01 1:35:15,32.29,82.96
2019-07-01 1:35:16,31.86,64.77
2019-07-01 1:35:17,31.41,89.34
2019-07-01 1:35:18,30.15,58.38
2019-07-01 1:35:19,29.37,78.75
2019-07-01 1:35:20,30.62,84.65
2019-07-01 1:35:21,28.35,72.52
2019-07-01 1:35:22,23.96,62.95
2019-07-01 1:35:23,32.14,74.01
2019-07-01 1:35:24,25.73,90.65
2019-07-01 1:35:25,32.27,57.75
2019-07-01 1:35:26,27.94,65.75
2019-07-01 1:35:27,26.40,87.96
2019-07-01 1:35:28,22.00,67.84
2019-07-01 1:35:29,21.19,60.77
2019-07-01 1:35:30,28.96,93.18
2019-07-01 1:35:31,33.40,73.10
2019-07-01 1:35:32,24.32,86.57
2019-07-01 1:35:9,22.72,82.50
2019-07-01 1:35:10,23.04,64.40
2019-07-01 1:35:11,28.27,79.14
2019-07-01 1:35:12,33.23,54.63
2019-07-01 1:35:13,25.86,64.06
2019-07-01 1:35:14,30.15,65.76
2019-07-01 1:35:15,21.92,90.75
2019-07-01 1:35:16,23.81,63.85
2019-07-01 1:35:17,29.58,86.65
2019-07-01 1:35:18,23.74,85.51
2019-07-01 1:35:19,28.65,54.69
2019-07-01 1:35:20,25.82,54.64
2019-07-01 1:35:21,28.28,60.62
2019-07-01 1:35:22,20.40,87.75
2019-07-01 1:35:23,21.60,55.48
2019-07-01 1:35:24,26.04,62.32
2019-07-01 1:35:25,31.69,78.34
2019-07-01 1:35:26,28.35,70.21
2019-07-01 1:35:27,24.18,75.68
2019-07-01 1:35:28,27.79,81.61
2019-07-01 1:35:29,32.22,63.42
2019-07-01 1:35:30,21.18,50.60
2019-07-01 1:35:31,23.20,64.61
2019-07-01 1:35:32,24.71,90.83
2019-07-01 1:35:9,26.71,58.09
2019-07-01 1:35:10,31.42,79.67
2019-07-01 1:35:11,31.01,63.37
2019-07-01 1:35:12,30.99,78.74
2019-07-01 1:35:13,28.04,87.16
2019-07-01 1:35:14,24.98,85.47
2019-07-01 1:35:15,32.76,73.67
2019-07-01 1:35:16,22.43,64.52
2019-07-01 1:35:17,25.28,94.14
2019-07-01 1:35:18,21.32,82.79
2019-07-01 1:35:19,33.48,61.42
2019-07-01 1:35:20,31.55,52.28
2019-07-01 1:35:21,31.66,94.17
2019-07-01 1:35:22,20.54,58.41
2019-07-01 1:35:23,29.68,67.00
2019-07-01 1:35:24,24.58,58.18
2019-07-01 1:35:25,27.87,56.87
2019-07-01 1:35:26,31.66,66.57
2019-07-01 1:35:27,26.43,79.28
2019-07-01 1:35:28,20.57,51.71
2019-07-01 1:35:29,26.84,66.47
2019-07-01 1:35:30,31.46,69.00
2019-07-01 1:35:31,32.33,94.54
2019-07-01 1:35:32,30.37,62.30
2019-07-01 1:35:9,26.71,58.09
2019-07-01 1:35:10,31.42,79.67
2019-07-01 1:35:11,31.01,63.37
2019-07-01 1:35:12,30.99,78.74
2019-07-01 1:35:13,28.04,87.16
2019-07-01 1:35:14,24.98,85.47
2019-07-01 1:35:15,32.76,73.67
2019-07-01 1:35:16,22.43,64.52
2019-07-01 1:35:17,25.28,94.14
2019-07-01 1:35:18,21.32,82.79
2019-07-01 1:35:19,33.48,61.42
2019-07-01 1:35:20,31.55,52.28
2019-07-01 1:35:21,31.66,94.17
2019-07-01 1:35:22,20.54,58.41
2019-07-01 1:35:23,29.68,67.00
2019-07-01 1:35:24,24.58,58.18
2019-07-01 1:35:25,27.87,56.87
2019-07-01 1:35:26,31.66,66.57
2019-07-01 1:35:27,26.43,79.28
2019-07-01 1:35:28,20.57,51.71
2019-07-01 1:35:29,26.84,66.47
2019-07-01 1:35:30,31.46,69.00
2019-07-01 1:35:31,32.33,94.54
2019-07-01 1:35:32,30.37,62.30
2019-07-01 1:35:9,31.52,76.85
2019-07-01 1:35:10,28.86,94.17
2019-07-01 1:35:11,23.57,73.55
